name,sold,original_price,promo_price,store_name,url,img,rating,review
大王 - 【原箱優惠】ToyStory 圖案學習褲 加加大碼XXL36片*3(男女共用) (4902011843217)【平行進口】,已售出 50+,增量裝,$ 274.00,MIKO MALL,https://www.hktvmall.com/hktv/zh/s/S2457001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/9beb/2644/eda8/FUXHnqYhUC20230412132919_300.png,NA,NA
Pampers  - Pampers - 日本進口 Ichiban 拉拉褲 (加大碼) 46片,已售出 50+,$ 170.00,$ 165.00,Adorababies韓國旗艦店,https://www.hktvmall.com/hktv/zh/promo/TestFG_20230712,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/628b/b400/9f03/qpHAoetiqi20230807140158_300.jpg,NA,NA
多芬 - 可降解無香嬰兒濕紙巾(75片) [平行進口],已售出 50+,,$ 26.60,置好價,https://www.hktvmall.com/hktv/zh/s/H9059001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/db9a/def3/3749/VsESlwgKnm20230602113040_300.jpg,NA,NA
Pampers  - 【原箱優惠】幫寶適ICHIBAN 【新版】特級棉柔 紙尿片 細碼 S Size 78片 × 3包(4987176171306)【平行進口】,已售出 50+,$ 880.00,$ 357.00,旬美百貨店,https://www.hktvmall.com/hktv/zh/exp/Redemption_B0202001_20220223,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/4f0d/b35e/8e85/oXLIiPzIJF20230504074413_300.png,NA,(1)
Moony - [原箱] 尿褲 女仔夜用 XXL 22片 x 3包 (13-28kg) (平行進口),已售出 50+,$ 646.00,$ 360.00,The One Baby,https://www.hktvmall.com/hktv/zh/exp/H5980001_Redemptionupon99255060v8,https://images.hktv-img.com/images/HKTV/13934/4903111211807_3_main_61009458_20210312191000_01_300.jpg,NA,NA
"Pampers  - [3件優惠裝] [原裝正貨] 日本進口Ichiban安睡褲/學習褲-加加大碼22片 (挑戰0漏尿, 360 °全方位防漏, 拉拉褲)",已售出 50+,$ 840.00,$ 780.00,NA,https://www.hktvmall.com/hktv/zh/exp/Redemption_H6924001_20230804_hipp,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/31ad/7a58/ff7e/eaflwTVVZe20230419195001_300.jpg,NA,NA
CHARLIE BANANA® - 兩用游泳及學習褲-大碼-Blue pineapple,已售出 50+,,$ 121.00,Winc Design Limited,https://www.hktvmall.com/hktv/zh/s/S1175001,https://images.hktvmall.com/s1175001/192292/s1175001_888934_180605055947_01_300.jpg,NA,NA
大王 - 游泳尿褲 (男女共用) M碼4片裝 (平行進口貨),已售出 50+,4902011860801,$ 37.00,JDH Mall 生活百貨,https://www.hktvmall.com/hktv/zh/s/H9537001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/229f/f270/08a0/FlKFCYmUkl20230411143026_300.jpg,NA,NA
unicharm - MOONY Natural 有機棉系列紙尿片大碼 L38片 (4903111242030)【平行進口】不同版本隨機發貨,已售出 50+,$ 239.00,$ 123.00,旬美百貨店,https://www.hktvmall.com/hktv/zh/exp/Redemption_B0202001_20220223,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/0f1a/8317/976d/zcHNqSNmnc20230314201330_300.png,NA,NA
Pampers  - Ichiban [原箱-新包裝] L52大碼拉拉褲 50+2片X3包(平行進口),已售出 50+,$ 538.00,$ 338.00,BB20 特賣場,https://www.hktvmall.com/hktv/zh/s/S6113001,https://cdn-mms.hktvmall.com/hktv/mms/uploadProductImage/89fd/5bfe/b9d1/QmhyUzYYUI20230628104834_300.jpg,NA,NA
